,Time Candle,Duration,Momentum Margin,Momentum Volume,Desired Profit,Stop Loss,Units,Open-close Difference,Order Type,Buy Wait Time,Sell Wait Time,Total Profit
300,14:20,5,3,3,1,3,50,3,Limit,30,690,-3784.0000000001055
301,14:20,5,3,3,1,3,50,3,Market,30,690,-2336.9999999998527
302,14:20,5,3,3,1,3,50,15,Limit,30,690,-1575.0000000000455
303,14:20,5,3,3,1,3,50,15,Market,30,690,-795.9999999999127
304,14:20,5,3,3,20,1,1,3,Limit,30,690,-262.0
305,14:20,5,3,3,20,1,1,3,Market,30,690,-183.0
306,14:20,5,3,3,20,1,1,15,Limit,30,690,-134.0
307,14:20,5,3,3,20,1,1,15,Market,30,690,-102.0
308,14:20,5,3,3,20,1,50,3,Limit,30,690,-13576.000000000067
309,14:20,5,3,3,20,1,50,3,Market,30,690,-8945.999999999867
310,14:20,5,3,3,20,1,50,15,Limit,30,690,-6915.999999999985
311,14:20,5,3,3,20,1,50,15,Market,30,690,-4795.999999999913
312,14:20,5,3,3,20,3,1,3,Limit,30,690,-381.0
313,14:20,5,3,3,20,3,1,3,Market,30,690,-261.0
314,14:20,5,3,3,20,3,1,15,Limit,30,690,1.0
315,14:20,5,3,3,20,3,1,15,Market,30,690,62.0
316,14:20,5,3,3,20,3,50,3,Limit,30,690,-17097.000000000073
317,14:20,5,3,3,20,3,50,3,Market,30,690,-11955.999999999904
318,14:20,5,3,3,20,3,50,15,Limit,30,690,2090.000000000009
319,14:20,5,3,3,20,3,50,15,Market,30,690,4391.000000000076
320,14:20,5,7,1,1,1,1,3,Limit,30,690,-35.0
321,14:20,5,7,1,1,1,1,3,Market,30,690,-60.0
322,14:20,5,7,1,1,1,1,15,Limit,30,690,-11.0
323,14:20,5,7,1,1,1,1,15,Market,30,690,-33.0
324,14:20,5,7,1,1,1,50,3,Limit,30,690,-3063.999999999942
325,14:20,5,7,1,1,1,50,3,Market,30,690,-2853.999999999951
326,14:20,5,7,1,1,1,50,15,Limit,30,690,-1069.000000000051
327,14:20,5,7,1,1,1,50,15,Market,30,690,-1392.9999999999836
328,14:20,5,7,1,1,3,1,3,Limit,30,690,-50.0
329,14:20,5,7,1,1,3,1,3,Market,30,690,-65.0
330,14:20,5,7,1,1,3,1,15,Limit,30,690,-18.0
331,14:20,5,7,1,1,3,1,15,Market,30,690,-31.0
332,14:20,5,7,1,1,3,50,3,Limit,30,690,-3449.0000000000236
333,14:20,5,7,1,1,3,50,3,Market,30,690,-2880.999999999949
334,14:20,5,7,1,1,3,50,15,Limit,30,690,-1074.0000000000691
335,14:20,5,7,1,1,3,50,15,Market,30,690,-1278.999999999951
336,14:20,5,7,1,20,1,1,3,Limit,30,690,-291.0
337,14:20,5,7,1,20,1,1,3,Market,30,690,-222.0
338,14:20,5,7,1,20,1,1,15,Limit,30,690,-156.0
339,14:20,5,7,1,20,1,1,15,Market,30,690,-140.0
340,14:20,5,7,1,20,1,50,3,Limit,30,690,-15128.999999999996
341,14:20,5,7,1,20,1,50,3,Market,30,690,-9838.999999999896
342,14:20,5,7,1,20,1,50,15,Limit,30,690,-8244.000000000005
343,14:20,5,7,1,20,1,50,15,Market,30,690,-5305.999999999904
344,14:20,5,7,1,20,3,1,3,Limit,30,690,-437.0
345,14:20,5,7,1,20,3,1,3,Market,30,690,-261.0
346,14:20,5,7,1,20,3,1,15,Limit,30,690,-65.0
347,14:20,5,7,1,20,3,1,15,Market,30,690,63.0
348,14:20,5,7,1,20,3,50,3,Limit,30,690,-20714.000000000033
349,14:20,5,7,1,20,3,50,3,Market,30,690,-11775.99999999984
350,14:20,5,7,1,20,3,50,15,Limit,30,690,-1427.0000000000437
351,14:20,5,7,1,20,3,50,15,Market,30,690,4878.0000000000655
352,14:20,5,7,3,1,1,1,3,Limit,30,690,-49.0
353,14:20,5,7,3,1,1,1,3,Market,30,690,-59.0
354,14:20,5,7,3,1,1,1,15,Limit,30,690,-23.0
355,14:20,5,7,3,1,1,1,15,Market,30,690,-32.0
